S12A2_HUMAN	P55011
HBB_HUMAN	P68871
HBD_HUMAN	P02042
MAIP1_HUMAN	Q8WWC4
KPCD2_HUMAN	Q9BZL6
FXL16_HUMAN	Q8N461
MYO10_HUMAN	Q9HD67
AL3A2_HUMAN	P51648
RM28_HUMAN	Q13084
CACB1_HUMAN	Q02641
RM02_HUMAN	Q5T653
KCMA1_HUMAN	Q12791
RS28_HUMAN	P62857
SDC1_HUMAN	P18827
CRLF3_HUMAN	Q8IUI8
NAGK_HUMAN	Q9UJ70
IPO5_HUMAN;RNBP6_HUMAN	O00410
KAD6_HUMAN	Q9Y3D8
XCT_HUMAN	Q9UPY5
THTR_HUMAN	Q16762
DD19A_HUMAN	Q9NUU7
LIMA1_HUMAN	Q9UHB6
ASPH_HUMAN	Q12797
CSK_HUMAN	P41240
SC6A1_HUMAN	P30531
DNJC8_HUMAN	O75937
IGHM_HUMAN	P01871
KNDC1_HUMAN	Q76NI1
CSTN3_HUMAN	Q9BQT9
H90B3_HUMAN;H90B4_HUMAN;HS905_HUMAN;HS90A_HUMAN;HS90B_HUMAN	Q58FF7
H90B3_HUMAN;HS905_HUMAN;HS90A_HUMAN;HS90B_HUMAN	Q58FF7
FXRD1_HUMAN	Q96CU9
RPB1_HUMAN	P24928
REQU_HUMAN	Q92785
CTNB1_HUMAN;PLAK_HUMAN	P35222
CLAP1_HUMAN;CLAP2_HUMAN	Q7Z460
ADA11_HUMAN	O75078
MED12_HUMAN	Q93074
TRI32_HUMAN	Q13049
PHLB2_HUMAN	Q86SQ0
S30BP_HUMAN	Q9UHR5
PPIA_HUMAN	P62937
TIMP3_HUMAN	P35625
MCTS1_HUMAN	Q9ULC4
TCPA_HUMAN	P17987
CLCN7_HUMAN	P51798
CO5A1_HUMAN	P20908
AMD_HUMAN	P19021
LIPS_HUMAN	Q05469
MSRA_HUMAN	Q9UJ68
HNRH1_HUMAN	P31943
CNOT2_HUMAN	Q9NZN8
FOXK1_HUMAN	P85037
STT3A_HUMAN	P46977
UTP15_HUMAN	Q8TED0
SYUA_HUMAN;SYUB_HUMAN	P37840
SYUA_HUMAN	P37840
SYUB_HUMAN	Q16143
MIC13_HUMAN	Q5XKP0
EST1_HUMAN	P23141
PYM1_HUMAN	Q9BRP8
PRS8_HUMAN	P62195
FETUA_HUMAN	P02765
CTBL1_HUMAN	Q8WYA6
ADNP_HUMAN	Q9H2P0
ULA1_HUMAN	Q13564
ISPD_HUMAN	A4D126
AKCL2_HUMAN	Q96JD6
RAB2A_HUMAN;RAB2B_HUMAN	P61019
GOPC_HUMAN	Q9HD26
VDAC1_HUMAN	P21796
SIN3A_HUMAN	Q96ST3
CPIN1_HUMAN	Q6FI81
WIZ_HUMAN	O95785
ORC3_HUMAN	Q9UBD5
PACS2_HUMAN	Q86VP3
KIF1C_HUMAN	O43896
KIF1A_HUMAN;KIF1B_HUMAN	Q12756
HCLS1_HUMAN	P14317
DOCK6_HUMAN;DOCK7_HUMAN	Q96HP0
UACA_HUMAN	Q9BZF9
CDC16_HUMAN	Q13042
A1AG2_HUMAN	P19652
AGAP1_HUMAN	Q9UPQ3
NDK6_HUMAN	O75414
IST1_HUMAN	P53990
PCAT2_HUMAN	Q7L5N7
ETFB_HUMAN	P38117
DGKA_HUMAN	P23743
SAHH2_HUMAN	O43865
NEDD8_HUMAN	Q15843
CC50A_HUMAN	Q9NV96
UCRI_HUMAN	P47985
EXC6B_HUMAN	Q9Y2D4
TAOK3_HUMAN	Q9H2K8
RAP2A_HUMAN;RAP2B_HUMAN;RAP2C_HUMAN	P10114
STXB6_HUMAN	Q8NFX7
CHDH_HUMAN	Q8NE62
CIA2B_HUMAN	Q9Y3D0
SAR1A_HUMAN	Q9NR31
H90B4_HUMAN	Q58FF6
ENPL_HUMAN;HS90B_HUMAN	P14625
H90B2_HUMAN	Q58FF8
T11L1_HUMAN	Q9NUJ3
ERBIN_HUMAN	Q96RT1
LRBA_HUMAN;NBEA_HUMAN	P50851
ABI1_HUMAN;ABI2_HUMAN	Q8IZP0
LIPA2_HUMAN;LIPA3_HUMAN	O75334
RAC3_HUMAN	P60763
AFG2H_HUMAN	Q8NB90
GALT2_HUMAN	Q10471
DAA10_HUMAN	Q96MX6
SYF1_HUMAN	Q9HCS7
CAPS2_HUMAN	Q86UW7
PLPL8_HUMAN	Q9NP80
SYTC2_HUMAN	A2RTX5
SLTM_HUMAN	Q9NWH9
PLPP3_HUMAN	O14495
CFAH_HUMAN;FHR1_HUMAN	P08603
TNAP3_HUMAN	P21580
LARP4_HUMAN	Q71RC2
TRI18_HUMAN	O15344
CO8A1_HUMAN	P27658
KPCD1_HUMAN	Q15139
OGA_HUMAN	O60502
PXDC2_HUMAN	Q6UX71
TBC24_HUMAN	Q9ULP9
RDH11_HUMAN	Q8TC12
DCMC_HUMAN	O95822
DNJA2_HUMAN	O60884
INT10_HUMAN	Q9NVR2
BT3A2_HUMAN	P78410
MSPD2_HUMAN	Q8NHP6
ACTA_HUMAN;ACTB_HUMAN;ACTC_HUMAN;ACTG_HUMAN;ACTH_HUMAN;ACTS_HUMAN	P62736
FXR2_HUMAN	P51116
LOX15_HUMAN	P16050
VP26A_HUMAN	O75436
SHPS1_HUMAN	P78324
EHMT1_HUMAN	Q9H9B1
TBB4A_HUMAN;TBB4B_HUMAN	P04350
TBB8B_HUMAN	A6NNZ2
KV37_HUMAN	A0A075B6H7
MTMR1_HUMAN	Q13613
TPPC9_HUMAN	Q96Q05
HS2ST_HUMAN	Q7LGA3
CENPF_HUMAN	P49454
SNX17_HUMAN	Q15036
UBQL1_HUMAN	Q9UMX0
DPH6_HUMAN	Q7L8W6
IKIP_HUMAN	Q70UQ0
REEP2_HUMAN	Q9BRK0
RM50_HUMAN	Q8N5N7
TBATA_HUMAN	Q96M53
TAF7_HUMAN	Q15545
PTN11_HUMAN	Q06124
ACTC_HUMAN;ACTS_HUMAN	P68032
LDHB_HUMAN	P07195
MIX23_HUMAN	Q4VC31
K0513_HUMAN	O60268
KPRA_HUMAN;KPRB_HUMAN	Q14558
IMA1_HUMAN	P52292
FHI2A_HUMAN	Q5W0V3
GRM1_HUMAN	Q13255
ATP5I_HUMAN	P56385
PEX19_HUMAN	P40855
CSN7A_HUMAN	Q9UBW8
THUM1_HUMAN	Q9NXG2
RPGF4_HUMAN	Q8WZA2
BECN1_HUMAN	Q14457
SPTB1_HUMAN;SPTB2_HUMAN	P11277
DDX18_HUMAN	Q9NVP1
COPG1_HUMAN;COPG2_HUMAN	Q9Y678
FAAH1_HUMAN	O00519
LTOR3_HUMAN	Q9UHA4
RS19_HUMAN	P39019
ISCU_HUMAN	Q9H1K1
GABPA_HUMAN	Q06546
AB17C_HUMAN	Q6PCB6
RUFY3_HUMAN	Q7L099
BGLR_HUMAN	P08236
RDH14_HUMAN	Q9HBH5
RNT2_HUMAN	O00584
DAXX_HUMAN	Q9UER7
PP2AB_HUMAN	P62714
NDEL1_HUMAN	Q9GZM8
RGCC_HUMAN	Q9H4X1
MP2K2_HUMAN	P36507
TBK1_HUMAN	Q9UHD2
PR40A_HUMAN	O75400
NSUN2_HUMAN	Q08J23
NUP62_HUMAN	P37198
RFIP2_HUMAN	Q7L804
RS8_HUMAN	P62241
GGA3_HUMAN	Q9NZ52
MP2K1_HUMAN	Q02750
ARHG7_HUMAN	Q14155
NXP20_HUMAN	Q8IWE2
CALB2_HUMAN	P22676
DOC2A_HUMAN	Q14183
ELAV2_HUMAN;ELAV4_HUMAN	Q12926
SYNRG_HUMAN	Q9UMZ2
PDE12_HUMAN	Q6L8Q7
RL32_HUMAN	P62910
RFC4_HUMAN	P35249
ECM2_HUMAN	O94769
LRC14_HUMAN	Q15048
DIRA2_HUMAN	Q96HU8
IFT27_HUMAN	Q9BW83
MET7A_HUMAN	Q9H8H3
PA1B2_HUMAN	P68402
CD5L_HUMAN	O43866
SH3G1_HUMAN	Q99961
PIP_HUMAN	P12273
PEPL1_HUMAN	Q8NDH3
DNJC9_HUMAN	Q8WXX5
NELFE_HUMAN	P18615
RHG31_HUMAN	Q2M1Z3
FABP5_HUMAN	Q01469
HS902_HUMAN;HS90A_HUMAN	Q14568
HS902_HUMAN	Q14568
NGEF_HUMAN	Q8N5V2
SLMAP_HUMAN	Q14BN4
ATPG_HUMAN	P36542
EGFR_HUMAN	P00533
PAK1_HUMAN;PAK3_HUMAN	Q13153
CLCN4_HUMAN	P51793
TOP2A_HUMAN;TOP2B_HUMAN	P11388
CE051_HUMAN	A6NDU8
S10A1_HUMAN	P23297
DAB2P_HUMAN;SYGP1_HUMAN	Q5VWQ8
PGAM2_HUMAN	P15259
CHERP_HUMAN	Q8IWX8
HDAC9_HUMAN	Q9UKV0
ECM1_HUMAN	Q16610
TRI35_HUMAN	Q9UPQ4
ADA_HUMAN	P00813
BAG4_HUMAN	O95429
FYCO1_HUMAN	Q9BQS8
VTI1A_HUMAN	Q96AJ9
TB10B_HUMAN	Q4KMP7
THRB_HUMAN	P00734
PAK6_HUMAN	Q9NQU5
COMD4_HUMAN	Q9H0A8
MTMR6_HUMAN	Q9Y217
PGAP6_HUMAN	Q9HCN3
NOP2_HUMAN	P46087
IN35_HUMAN	P80217
PAK2_HUMAN;PAK3_HUMAN	Q13177
JMJD4_HUMAN	Q9H9V9
SIKE1_HUMAN	Q9BRV8
RS9_HUMAN	P46781
U2AF2_HUMAN	P26368
CBPE_HUMAN	P16870
PFD5_HUMAN	Q99471
STAU1_HUMAN	O95793
MRO2A_HUMAN	A6NES4
OGFD1_HUMAN	Q8N543
DTNB_HUMAN	O60941
OXSR1_HUMAN;STK39_HUMAN	O95747
LMOD3_HUMAN	Q0VAK6
CUX2_HUMAN	O14529
6PGL_HUMAN	O95336
PPCE_HUMAN	P48147
S100P_HUMAN	P25815
GBB2_HUMAN;GBB4_HUMAN	P62879
S13A5_HUMAN	Q86YT5
FPGT_HUMAN	O14772
ACTN1_HUMAN;ACTN4_HUMAN	P12814
AKP13_HUMAN	Q12802
SWP70_HUMAN	Q9UH65
8ODP_HUMAN	P36639
CAH5B_HUMAN	Q9Y2D0
SCAM2_HUMAN	O15127
ARL2_HUMAN	P36404
PYGB_HUMAN;PYGL_HUMAN;PYGM_HUMAN	P11216
GBB3_HUMAN	P16520
AGRL2_HUMAN	O95490
TSC1_HUMAN	Q92574
MZB1_HUMAN	Q8WU39
WDR75_HUMAN	Q8IWA0
JPH1_HUMAN	Q9HDC5
UTP20_HUMAN	O75691
RWDD4_HUMAN	Q6NW29
KIF5A_HUMAN	Q12840
LCAP_HUMAN	Q9UIQ6
S4A10_HUMAN;S4A8_HUMAN	Q6U841
LRC73_HUMAN	Q5JTD7
NGAL_HUMAN	P80188
CIP4_HUMAN	Q15642
CP1B1_HUMAN	Q16678
NLGN3_HUMAN	Q9NZ94
NEP1_HUMAN	Q92979
TIAM2_HUMAN	Q8IVF5
MOB2_HUMAN	Q70IA6
CYB5B_HUMAN	O43169
TAM41_HUMAN	Q96BW9
SGMR2_HUMAN	Q5BJF2
FAD1_HUMAN	Q8NFF5
FA98B_HUMAN	Q52LJ0
PMM2_HUMAN	O15305
VP26B_HUMAN	Q4G0F5
PPM1H_HUMAN	Q9ULR3
K154L_HUMAN	Q6ZVL6
ELAV3_HUMAN	Q14576
RBBP7_HUMAN	Q16576
SNX5_HUMAN	Q9Y5X3
BT3A3_HUMAN	O00478
RBM5_HUMAN	P52756
EHD2_HUMAN;EHD3_HUMAN;EHD4_HUMAN	Q9NZN4
PPA5_HUMAN	P13686
RM41_HUMAN	Q8IXM3
CNOT9_HUMAN	Q92600
EIF3K_HUMAN	Q9UBQ5
TBB3_HUMAN	Q13509
AT8A1_HUMAN	Q9Y2Q0
PKHA5_HUMAN	Q9HAU0
CD59_HUMAN	P13987
CHP3_HUMAN	Q96BS2
A1AG1_HUMAN	P02763
NINJ2_HUMAN	Q9NZG7
AQP4_HUMAN	P55087
RM09_HUMAN	Q9BYD2
PTER_HUMAN	Q96BW5
SH3L1_HUMAN	O75368
CAPAM_HUMAN	Q9H4Z3
DLGP4_HUMAN	Q9Y2H0
NUDC2_HUMAN	Q8WVJ2
EZRI_HUMAN;RADI_HUMAN	P15311
PTN9_HUMAN	P43378
SLU7_HUMAN	O95391
DAAM1_HUMAN	Q9Y4D1
WDR61_HUMAN	Q9GZS3
CLPB_HUMAN	Q9H078
SAM9L_HUMAN	Q8IVG5
COPD_HUMAN	P48444
SYUG_HUMAN	O76070
FHR5_HUMAN	Q9BXR6
GSE1_HUMAN	Q14687
APOA2_HUMAN	P02652
CNRP1_HUMAN	Q96F85
DPY30_HUMAN	Q9C005
CSK23_HUMAN	Q8NEV1
NNRE_HUMAN	Q8NCW5
ABCA3_HUMAN	Q99758
HTRA2_HUMAN	O43464
OCAD1_HUMAN	Q9NX40
IGHG4_HUMAN	P01861
IGHG1_HUMAN;IGHG2_HUMAN;IGHG3_HUMAN	P01857
IGHG2_HUMAN;IGHG3_HUMAN	P01859
DPA1_HUMAN	P20036
OTU7B_HUMAN	Q6GQQ9
NFYB_HUMAN	P25208
PARN_HUMAN	O95453
AT5F1_HUMAN	P24539
RAP1B_HUMAN	P61224
ADT2_HUMAN;ADT3_HUMAN	P05141
TRYB1_HUMAN	Q15661
GSTM2_HUMAN	P28161
RL17_HUMAN	P18621
C2D1B_HUMAN	Q5T0F9
CHTOP_HUMAN	Q9Y3Y2
CCD12_HUMAN	Q8WUD4
TMM94_HUMAN	Q12767
HDAC6_HUMAN	Q9UBN7
CC134_HUMAN	Q9H6E4
UH1BL_HUMAN	A0JNW5
TFAM_HUMAN	Q00059
ASTN2_HUMAN	O75129
DOCK1_HUMAN	Q14185
NELFA_HUMAN	Q9H3P2
PP6R1_HUMAN	Q9UPN7
UBA3_HUMAN	Q8TBC4
AKIR2_HUMAN	Q53H80
SET_HUMAN	Q01105
TRAK1_HUMAN	Q9UPV9
KCRM_HUMAN	P06732
DPH5_HUMAN	Q9H2P9
NUDT5_HUMAN	Q9UKK9
LSS_HUMAN	P48449
PEG10_HUMAN	Q86TG7
NUD12_HUMAN	Q9BQG2
ZWINT_HUMAN	O95229
ATRN_HUMAN	O75882
IF2GL_HUMAN;IF2G_HUMAN	Q2VIR3
MARE1_HUMAN;MARE2_HUMAN	Q15691
RT26_HUMAN	Q9BYN8
ATPO_HUMAN	P48047
EPB41_HUMAN	P11171
NOC2L_HUMAN	Q9Y3T9
FNTB_HUMAN	P49356
STK38_HUMAN	Q15208
DOCK4_HUMAN	Q8N1I0
TAOK1_HUMAN	Q7L7X3
CCD92_HUMAN	Q53HC0
TAOK2_HUMAN	Q9UL54
NCOA2_HUMAN	Q15596
ANKH1_HUMAN;ANR17_HUMAN	Q8IWZ3
ATCAY_HUMAN	Q86WG3
UN13A_HUMAN;UN13B_HUMAN	Q9UPW8
DMXL1_HUMAN	Q9Y485
CRP_HUMAN	P02741
STT3B_HUMAN	Q8TCJ2
MILK1_HUMAN	Q8N3F8
SMCA1_HUMAN	P28370
TXND9_HUMAN	O14530
HSF1_HUMAN	Q00613
ZN579_HUMAN	Q8NAF0
DTX3L_HUMAN	Q8TDB6
PSA2_HUMAN	P25787
SPS1_HUMAN	P49903
RRFM_HUMAN	Q96E11
RN141_HUMAN	Q8WVD5
SEPT4_HUMAN	O43236
SCRB1_HUMAN	Q8WTV0
SAMN1_HUMAN	Q9NSI8
IQEC1_HUMAN;IQEC2_HUMAN	Q6DN90
ZMYM4_HUMAN	Q5VZL5
KI20B_HUMAN	Q96Q89
CAST2_HUMAN	A6NHX0
PLCH2_HUMAN	O75038
RM37_HUMAN	Q9BZE1
RHG35_HUMAN	Q9NRY4
INSR_HUMAN	P06213
SH3L2_HUMAN	Q9UJC5
LIMC1_HUMAN	Q9UPQ0
RAB3A_HUMAN	P20336
ELOB_HUMAN	Q15370
PCBP1_HUMAN;PCBP2_HUMAN;PCBP3_HUMAN	Q15365
GET3_HUMAN	O43681
STA10_HUMAN	Q9Y365
PRC2C_HUMAN	Q9Y520
UN13A_HUMAN	Q9UPW8
TDIF2_HUMAN	Q5QJE6
ARHG9_HUMAN	O43307
SCN7A_HUMAN	Q01118
SC24C_HUMAN	P53992
DUS3L_HUMAN	Q96G46
EIF3J_HUMAN	O75822
RAB2B_HUMAN	Q8WUD1
MOV10_HUMAN	Q9HCE1
UBP25_HUMAN	Q9UHP3
SYPH_HUMAN	P08247
ZN207_HUMAN	O43670
ROCK1_HUMAN	Q13464
CLYBL_HUMAN	Q8N0X4
HPLN2_HUMAN	Q9GZV7
SYTC_HUMAN	P26639
ALG5_HUMAN	Q9Y673
OTU1_HUMAN	Q5VVQ6
SYHM_HUMAN	P49590
K1C12_HUMAN	Q99456
RNF31_HUMAN	Q96EP0
ABD12_HUMAN	Q8N2K0
KIFA3_HUMAN	Q92845
H90B3_HUMAN	Q58FF7
COG2_HUMAN	Q14746
NDUF2_HUMAN	Q8N183
CNTP5_HUMAN	Q8WYK1
MTCH1_HUMAN	Q9NZJ7
ABCF2_HUMAN	Q9UG63
KCTD4_HUMAN	Q8WVF5
ALDOB_HUMAN	P05062
SATT_HUMAN	P43007
FA10_HUMAN	P00742
UBE2F_HUMAN	Q969M7
CRYL1_HUMAN	Q9Y2S2
QORX_HUMAN	Q53FA7
RLGPB_HUMAN	Q86X10
NUDT3_HUMAN	O95989
PITC1_HUMAN	Q9UKF7
TBB3_HUMAN;TBB6_HUMAN	Q13509
TBB2A_HUMAN;TBB2B_HUMAN;TBB4B_HUMAN;TBB5_HUMAN	Q13885
TBB2A_HUMAN;TBB2B_HUMAN;TBB5_HUMAN	Q13885
TBB2A_HUMAN;TBB4B_HUMAN;TBB5_HUMAN	Q13885
TBB2A_HUMAN;TBB5_HUMAN	Q13885
IQUB_HUMAN	Q8NA54
ECH1_HUMAN	Q13011
ZYX_HUMAN	Q15942
MFSD6_HUMAN	Q6ZSS7
KATL1_HUMAN	Q9BW62
CAND1_HUMAN;CAND2_HUMAN	Q86VP6
AIFM3_HUMAN	Q96NN9
GGYF1_HUMAN	O75420
PON2_HUMAN	Q15165
NOP9_HUMAN	Q86U38
RHOA_HUMAN;RHOC_HUMAN	P61586
TMED4_HUMAN	Q7Z7H5
GMPPB_HUMAN	Q9Y5P6
DP13A_HUMAN	Q9UKG1
GLCNE_HUMAN	Q9Y223
DNJC7_HUMAN	Q99615
ARHGC_HUMAN	Q9NZN5
DOC10_HUMAN	Q96BY6
HTR5A_HUMAN	Q86XA9
SOAT1_HUMAN	P35610
DCTD_HUMAN	P32321
TIPRL_HUMAN	O75663
HYDIN_HUMAN	Q4G0P3
C19L1_HUMAN	Q69YN2
AAAT_HUMAN	Q15758
EIF1A_HUMAN	Q8N9N8
ABCA8_HUMAN	O94911
TRI46_HUMAN	Q7Z4K8
RM22_HUMAN	Q9NWU5
ZN483_HUMAN	Q8TF39
SNTB1_HUMAN;SNTB2_HUMAN	Q13884
SYNPR_HUMAN	Q8TBG9
CEAM8_HUMAN	P31997
PFD2_HUMAN	Q9UHV9
EPMIP_HUMAN	Q7L775
KIF5A_HUMAN;KIF5C_HUMAN;KINH_HUMAN	Q12840
AGRB2_HUMAN	O60241
KS6A2_HUMAN;KS6A3_HUMAN	Q15349
GNPI1_HUMAN;GNPI2_HUMAN	P46926
NDUS6_HUMAN	O75380
IMPA3_HUMAN	Q9NX62
TM10C_HUMAN	Q7L0Y3
CUL4A_HUMAN	Q13619
ILK_HUMAN	Q13418
ERCC2_HUMAN	P18074
SET1A_HUMAN	O15047
MMP14_HUMAN	P50281
PDS5A_HUMAN	Q29RF7
PON1_HUMAN	P27169
MTCH2_HUMAN	Q9Y6C9
PAXI1_HUMAN	Q6ZW49
MFGM_HUMAN	Q08431
BAALC_HUMAN	Q8WXS3
RHOF_HUMAN	Q9HBH0
CO3_HUMAN;sp|CONTAMINANT_Q2UVX4	P01024
KLDC4_HUMAN	Q8TBB5
UBR5_HUMAN	O95071
HMGCL_HUMAN	P35914
MECP2_HUMAN	P51608
GRN_HUMAN	P28799
LIN7C_HUMAN	Q9NUP9
LIN7A_HUMAN	O14910
G6PI_HUMAN	P06744
NDUS5_HUMAN	O43920
PTN5_HUMAN	P54829
ATD3B_HUMAN	Q5T9A4
CPSF3_HUMAN	Q9UKF6
PHIPL_HUMAN	Q96FC7
KCND3_HUMAN	Q9UK17
ROAA_HUMAN	Q99729
HNRPD_HUMAN	Q14103
BRK1_HUMAN	Q8WUW1
CNTFR_HUMAN	P26992
SNX4_HUMAN	O95219
SNUT2_HUMAN	Q53GS9
MAGI1_HUMAN	Q96QZ7
FKBP7_HUMAN	Q9Y680
QKI_HUMAN	Q96PU8
TTPAL_HUMAN	Q9BTX7
AINX_HUMAN;DESM_HUMAN;NFH_HUMAN;NFL_HUMAN;NFM_HUMAN;VIME_HUMAN	Q16352
AINX_HUMAN;NFH_HUMAN;NFL_HUMAN;NFM_HUMAN;VIME_HUMAN	Q16352
AINX_HUMAN;NFH_HUMAN;NFL_HUMAN;NFM_HUMAN	Q16352
GNAI1_HUMAN	P63096
GNAQ_HUMAN	P50148
OLFM4_HUMAN	Q6UX06
DPP10_HUMAN;DPP6_HUMAN	Q8N608
MTA70_HUMAN	Q86U44
NONO_HUMAN	Q15233
PPR3D_HUMAN	O95685
RAB1C_HUMAN	Q92928
RAB1A_HUMAN;RAB1B_HUMAN	P62820
RAB35_HUMAN	Q15286
CYLD_HUMAN	Q9NQC7
RAB13_HUMAN	P51153
CRNL1_HUMAN	Q9BZJ0
PCD10_HUMAN	Q9P2E7
PP12C_HUMAN	Q9BZL4
RBM8A_HUMAN	Q9Y5S9
HEP2_HUMAN	P05546
TM87A_HUMAN	Q8NBN3
MCM5_HUMAN	P33992
CADH2_HUMAN	P19022
ADA22_HUMAN	Q9P0K1
CPNE2_HUMAN	Q96FN4
TIGAR_HUMAN	Q9NQ88
EFR3A_HUMAN;EFR3B_HUMAN	Q14156
CTDP1_HUMAN	Q9Y5B0
SNF8_HUMAN	Q96H20
HPCL4_HUMAN;VISL1_HUMAN	Q9UM19
RANG_HUMAN	P43487
AAAS_HUMAN	Q9NRG9
LRC8A_HUMAN;LRC8C_HUMAN	Q8IWT6
ILEU_HUMAN	P30740
MTX3_HUMAN	Q5HYI7
CMA1_HUMAN	P23946
GPCP1_HUMAN	Q9NPB8
RWDD1_HUMAN	Q9H446
VPS36_HUMAN	Q86VN1
SDHF4_HUMAN	Q5VUM1
DNJC3_HUMAN	Q13217
RSF1_HUMAN	Q96T23
TBA1C_HUMAN;TBA3E_HUMAN;TBA4A_HUMAN;TBA8_HUMAN	Q9BQE3
SIPA1_HUMAN	Q96FS4
WNK1_HUMAN	Q9H4A3
LUM_HUMAN	P51884
AP3M1_HUMAN	Q9Y2T2
PCOC1_HUMAN	Q15113
TBA1C_HUMAN;TBA3E_HUMAN;TBA4A_HUMAN;TBA8_HUMAN;TBAL3_HUMAN	Q9BQE3
HS71L_HUMAN;HSP72_HUMAN	P34931
CPNE5_HUMAN;CPNE8_HUMAN	Q9HCH3
TPMT_HUMAN	P51580
LRC20_HUMAN	Q8TCA0
SAHH2_HUMAN;SAHH3_HUMAN	O43865
SCN1A_HUMAN	P35498
DQA1_HUMAN	P01909
PAIRB_HUMAN	Q8NC51
DQB1_HUMAN	P01920
DPB1_HUMAN;DRB1_HUMAN	P04440
RAB9B_HUMAN	Q9NP90
TRI25_HUMAN	Q14258
AAKG1_HUMAN;AAKG2_HUMAN	P54619
RS15A_HUMAN	P62244
PRUN1_HUMAN	Q86TP1
P3C2A_HUMAN	O00443
PMM1_HUMAN	Q92871
PO2F1_HUMAN	P14859
FNBP1_HUMAN	Q96RU3
GCYA2_HUMAN	P33402
LEG9_HUMAN	O00182
MOCOS_HUMAN	Q96EN8
KDSR_HUMAN	Q06136
MRCKA_HUMAN	Q5VT25
SNX18_HUMAN	Q96RF0
ICLN_HUMAN	P54105
B3A2_HUMAN	P04920
PIHD1_HUMAN	Q9NWS0
MPEG1_HUMAN	Q2M385
ARL3_HUMAN	P36405
RBM4B_HUMAN;RBM4_HUMAN	Q9BQ04
FNBP4_HUMAN	Q8N3X1
SEPT6_HUMAN	Q14141
GRIA1_HUMAN	P42261
KS6B1_HUMAN	P23443
RAB5A_HUMAN;RAB5B_HUMAN;RAB5C_HUMAN	P20339
MIA2_HUMAN	Q96PC5
IMDH1_HUMAN	P20839
PDIP2_HUMAN	Q9Y2S7
HCN1_HUMAN;HCN2_HUMAN	O60741
PTPRD_HUMAN	P23468
ATP5J_HUMAN	P18859
MARE1_HUMAN;MARE3_HUMAN	Q15691
MARE1_HUMAN	Q15691
SSRD_HUMAN	P51571
SPCS2_HUMAN	Q15005
AT2B1_HUMAN;AT2B4_HUMAN	P20020
RYR1_HUMAN;RYR2_HUMAN	P21817
2ABD_HUMAN	Q66LE6
RL15_HUMAN	P61313
BPI_HUMAN	P17213
RNAS6_HUMAN	Q93091
NDUF5_HUMAN	Q5TEU4
PDXD1_HUMAN	Q6P996
JMJD6_HUMAN	Q6NYC1
CYGB_HUMAN	Q8WWM9
ERF1_HUMAN	P62495
CASPA_HUMAN	Q92851
RASA3_HUMAN	Q14644
DOCK7_HUMAN;DOCK8_HUMAN	Q96N67
FRYL_HUMAN	O94915
PDCL3_HUMAN	Q9H2J4
PCNP_HUMAN	Q8WW12
CBPA3_HUMAN	P15088
MPCP_HUMAN	Q00325
TADBP_HUMAN	Q13148
SCN1A_HUMAN;SCN2A_HUMAN	P35498
RPIA_HUMAN	P49247
MGN2_HUMAN;MGN_HUMAN	Q96A72
HTSF1_HUMAN	O43719
SARNP_HUMAN	P82979
SPT20_HUMAN	Q8TB22
NUD19_HUMAN	A8MXV4
PABP1_HUMAN;PABP3_HUMAN	P11940
RHG25_HUMAN	P42331
SR140_HUMAN	O15042
DMBT1_HUMAN	Q9UGM3
EPHB2_HUMAN	P29323
PREB_HUMAN	Q9HCU5
TGO1_HUMAN	Q5JRA6
PLD1_HUMAN	Q13393
HNRLL_HUMAN	Q8WVV9
DNPH1_HUMAN	O43598
DPOD1_HUMAN	P28340
NDUS7_HUMAN	O75251
BIEA_HUMAN	P53004
PIN4_HUMAN	Q9Y237
BPHL_HUMAN	Q86WA6
HAX1_HUMAN	O00165
AR6P1_HUMAN	Q15041
SIR5_HUMAN	Q9NXA8
KI21A_HUMAN;KI21B_HUMAN	Q7Z4S6
ICT1_HUMAN	Q14197
CBR1_HUMAN;CBR3_HUMAN	P16152
HDAC3_HUMAN	O15379
RHG32_HUMAN	A7KAX9
G37L1_HUMAN	O60883
NPTX1_HUMAN	Q15818
LIMD1_HUMAN	Q9UGP4
IF4G1_HUMAN;IF4G3_HUMAN	Q04637
RPB3_HUMAN	P19387
OGRL1_HUMAN	Q5TC84
AP2S1_HUMAN	P53680
SYVM_HUMAN	Q5ST30
CYFP1_HUMAN;CYFP2_HUMAN	Q7L576
DPM1_HUMAN	O60762
NFU1_HUMAN	Q9UMS0
THYN1_HUMAN	Q9P016
CSN8_HUMAN	Q99627
UFSP2_HUMAN	Q9NUQ7
AP180_HUMAN;PICAL_HUMAN	O60641
ISG20_HUMAN	Q96AZ6
HLAB_HUMAN;HLAC_HUMAN;HLAE_HUMAN;HLAH_HUMAN	P01889
RB27A_HUMAN;RB27B_HUMAN	P51159
STRAA_HUMAN	Q7RTN6
GMFB_HUMAN	P60983
SASH3_HUMAN	O75995
NOB1_HUMAN	Q9ULX3
CSTF3_HUMAN	Q12996
RB27A_HUMAN	P51159
RM43_HUMAN	Q8N983
BAG2_HUMAN	O95816
COA3_HUMAN	Q9Y2R0
VP37B_HUMAN	Q9H9H4
UBP8_HUMAN	P40818
FOLR2_HUMAN	P14207
TOP2A_HUMAN	P11388
OSBL6_HUMAN	Q9BZF3
